Tiempo,Año,Mes,Total,Hombre,Mujer,Nacional,Arica,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Metropolitana
Ene - Mar 2010,2010,3,9.2,8,11.1,9.23,8.27,6.88,8.66,9.14,10.21,11.19,6.07,8.11,10.57,8.2,8.69,11.21,7.17,3.72,4.97,9.51
Feb - Abr 2010,2010,4,8.8,7.6,10.8,8.84,8.25,5.67,7.2,7.56,9.41,10.72,5.45,7.79,10.89,10.35,8.54,8.91,7.12,3.2,6.14,9.06
Mar - May 2010,2010,5,9.1,7.7,11.1,9.09,7.72,5.99,8.01,8.68,9.19,11.02,6.65,8.13,10.87,11.97,8.45,8.96,7.67,5.12,6.7,9.13
Abr - Jun 2010,2010,6,8.7,7.5,10.4,8.66,7.08,6.13,7.1,8.22,8.2,10.55,6.66,8.21,10.11,10.84,9.48,8.87,8.63,6.46,6.63,8.37
May - Jul 2010,2010,7,8.5,7.5,10,8.51,5.81,4.96,7.95,8.01,8.55,10.4,8.09,8.38,10.05,8.82,9.95,9.49,8.5,7.46,5.24,7.95
Jun - Ago 2010,2010,8,8.4,7.6,9.8,8.44,6.61,4.52,8.06,6.38,7.81,10.45,8.27,7.44,9.89,8.31,10.32,9.23,8.42,6.74,6.37,8
Jul - Sep 2010,2010,9,8.1,7.3,9.3,8.12,7.45,4.02,7.77,6.17,7.96,9.84,8.45,7.1,9.24,8.63,8.56,9.07,7.51,5.55,6.71,7.89
Ago - Oct 2010,2010,10,7.8,7,9.1,7.81,8.45,5.01,7.35,6.96,8.19,8.92,8.71,6.64,8.12,8.62,8.21,9.45,7.27,5.26,5.17,7.64
Sep - Nov 1010,2010,11,7.2,6.3,8.6,7.23,7.73,5.35,6.88,6.43,7.35,8.35,7.45,6.2,7.58,7.41,6.94,9.06,6.83,4.6,4.84,7.17
Oct - Dic 2010,2010,12,7.2,6.2,8.7,7.21,7.37,5.41,7.26,6.19,7.48,8.37,6.44,5.95,7.97,6.54,8.07,8.62,5.96,4.66,5.2,7.2
Nov 2010 - Ene 2011,2011,1,7.4,6.3,9.1,7.44,8.11,6.79,7.02,6.92,7.56,9.44,5.93,5.8,8.67,6.51,8.46,8.48,5.73,4,6.07,7.29
Dic 2010 - Feb 2011,2011,2,7.4,6.4,9,7.44,8.53,6.71,7.24,7.22,8.71,9.57,6.24,6.29,9.05,6.97,8.68,7.8,5.62,4.21,5.58,6.94
Ene - Mar 2011,2011,3,7.5,6.4,9.2,7.55,9.44,7.3,6.45,7.72,8.72,9.45,5.83,5.83,8.68,8.17,8.34,7.82,6.2,4.25,5.44,7.3
Feb - Abr 2011,2011,4,7.2,6.1,8.9,7.21,8.24,5.3,6.34,5.85,8.77,8.8,4.98,5.94,8.27,7.68,7.67,6.62,6.34,3.81,4.58,7.21
Mar - May 2011,2011,5,7.3,6,9.2,7.3,8.67,4.89,6.34,6.29,8.61,8.48,5.15,6.75,7.96,8.09,8.09,9.4,5.94,4.33,4.71,7.27
Abr - Jun 2011,2011,6,7.2,6,8.9,7.21,7.76,5.12,6.49,5.14,8.67,8.57,6.4,7.85,8.22,9.52,8.29,8.88,5.2,4.12,4.3,6.74
May - Jul 2011,2011,7,7.6,6.5,9,7.55,7.99,5.43,5.6,5.32,8.39,8.96,7.48,8.46,8.57,10.66,8.36,9.59,5.18,4.89,4.76,7.11
Jun - Ago 2011,2011,8,7.5,6.7,8.7,7.51,7.39,5.29,5.59,5.01,7.69,8.75,6.94,8.12,8.9,11.05,8.88,8.26,5.11,4.33,4.92,7.22
Jul - Sep 2011,2011,9,7.6,6.7,9,7.63,6.99,5.11,5.61,6.22,7.69,8.28,7.47,8.12,9.13,9.32,8.91,7.96,4.99,4.17,5.26,7.58
Ago - Oct 2011,2011,10,7.4,6.4,8.9,7.44,7.52,4.55,5.32,6.13,6.79,7.65,6.08,8.14,8.7,9.1,9.2,6.94,4.09,4.21,5.51,7.75
Sep - Nov 2011,2011,11,7.3,6.1,9.1,7.33,7.84,4.92,6.33,6.46,6.24,7.68,6.08,6.88,7.92,9.58,8.35,6.81,3.83,4.53,5.49,7.86
Oct - Dic 2011,2011,12,6.8,5.7,8.4,6.81,8.58,5.08,6.9,5.12,5.66,8.25,4.67,6.04,7.28,9.28,7.27,6.94,2.89,4.35,5.66,7.19
Nov 2011 - Ene 2012,2012,1,6.9,5.9,8.2,6.85,9.04,5.13,7.02,5.64,6.21,8.4,4.62,5.8,7.72,7.64,7.14,7.71,3.06,3.7,5.18,7.17
Dic 2011 - Feb 2012,2012,2,6.5,5.6,7.9,6.53,9.92,4.8,5.26,5.55,6.75,7.98,4.74,6.12,8.44,6.99,7.42,7.05,3.51,3.72,5.06,6.37
Ene - Mar 2012,2012,3,6.8,5.4,8.8,6.8,8.76,5.03,5.66,5.3,6.96,7.77,4.74,6.32,8.57,7.51,8.52,6.88,4.39,5.08,3.82,6.74
Feb - Abr 2012,2012,4,6.8,5.4,8.7,6.76,8.08,4.73,6,5.11,6.52,7.53,5.8,6.34,8.09,8.91,7.61,5.49,4.28,5.47,3.52,6.86
Mar - May 2012,2012,5,6.9,5.7,8.8,6.94,6.4,5.32,6.1,4.39,6.03,7.57,5.59,6.93,8.06,9.07,8.71,5.46,3.62,5.51,3.37,7.23
Abr - Jun 2012,2012,6,6.8,6,7.9,6.78,6.48,4.57,4.68,4.29,5.42,7.55,6.47,7.4,8.13,8.84,8.25,5.57,3.53,5.25,3.53,6.97
