Variable,SD,SD_sobre_SD_PIB,AC1,Corr_PIB
Consumo Total,.033082511,1.3982325,.70735228,.906192
Consumo Hogares e IPSFL,.037473001,1.5837966,.69429225,.90554225
Bienes Durables,.1165989,4.9280529,.79296565,.6696111
Bienes No Durables,.034464736,1.4566523,.72192723,.75176996
Servicios,.040117681,1.695574,.69451976,.83494693
Consumo Gobierno,.024656951,1.0421261,.6141544,.52304155
FBCF Total,.058559146,2.4750025,.76530117,.78545004
Construccion y Otras Obras,.045450546,1.9209676,.68858016,.75819588
Maquinaria y Equipo,.10315637,4.3599048,.72026563,.65416533
Exportaciones B&S,.02940348,1.2427381,.36150178,.36541837
Importaciones B&S,.073227555,3.0949628,.81931543,.80782861
PIB,.023660237,1,.71173817,1
